year,baseline_region,site,species,site_counts_total,density_60m2_mean,density_60m2_sd,density_m2_mean,density_m2_sd
2008,CENTRAL,MONASTERY_UC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2008,CENTRAL,MONASTERY_UC,Strongylocentrotus purpuratus,3,1.5,0.7071067811865476,0.025,0.011785113019775792
2008,CENTRAL,OTTER_PT_DC,Strongylocentrotus purpuratus,24,4,1.6733200530681511,0.06666666666666667,0.027888667551135855
2008,CENTRAL,OTTER_PT_UC,Mesocentrotus franciscanus,5,5,NA,0.08333333333333333,NA
2008,CENTRAL,OTTER_PT_UC,Strongylocentrotus purpuratus,143,28.6,39.329378332234036,0.4766666666666667,0.6554896388705673
2008,CENTRAL,PESCADERO_DC,Strongylocentrotus purpuratus,5,2.5,2.1213203435596424,0.041666666666666664,0.035355339059327376
2008,CENTRAL,PESCADERO_UC,Mesocentrotus franciscanus,2,1,0,0.016666666666666666,0
2008,CENTRAL,PESCADERO_UC,Strongylocentrotus purpuratus,14,2.8,2.16794833886788,0.04666666666666667,0.03613247231446467
2008,CENTRAL,PINNACLES_IN,Mesocentrotus franciscanus,17,4.25,3.304037933599835,0.07083333333333333,0.05506729889333058
2008,CENTRAL,PINNACLES_IN,Strongylocentrotus purpuratus,28,4.666666666666667,2.7325202042558927,0.07777777777777778,0.04554200340426488
2008,CENTRAL,PINNACLES_OUT,Mesocentrotus franciscanus,18,4.5,2.6457513110645907,0.075,0.044095855184409845
2008,CENTRAL,PINNACLES_OUT,Strongylocentrotus purpuratus,64,10.666666666666666,8.140434058861153,0.17777777777777778,0.1356739009810192
2008,CENTRAL,PINOS,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2008,CENTRAL,PINOS,Strongylocentrotus purpuratus,5,1.25,0.5,0.020833333333333332,0.008333333333333333
2008,CENTRAL,PT_JOE,Mesocentrotus franciscanus,4,2,1.4142135623730951,0.03333333333333333,0.023570226039551587
2008,CENTRAL,PT_JOE,Strongylocentrotus purpuratus,3,1,0,0.016666666666666666,0
2008,CENTRAL,SIREN,Strongylocentrotus purpuratus,2,2,NA,0.03333333333333333,NA
2008,CENTRAL,SPANISH_BAY_UC,Strongylocentrotus purpuratus,1,1,NA,0.016666666666666666,NA
2008,CENTRAL,STILLWATER_DC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2008,CENTRAL,STILLWATER_DC,Strongylocentrotus purpuratus,3,1.5,0.7071067811865476,0.025,0.011785113019775792
2008,CENTRAL,WESTON_DC,Strongylocentrotus purpuratus,2,2,NA,0.03333333333333333,NA
2008,CENTRAL,WESTON_UC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2008,CENTRAL,WESTON_UC,Strongylocentrotus purpuratus,2,2,NA,0.03333333333333333,NA
2009,CENTRAL,BLUEFISH_DC,Mesocentrotus franciscanus,2,2,NA,0.03333333333333333,NA
2009,CENTRAL,BLUEFISH_DC,Strongylocentrotus purpuratus,27,4.5,2.7386127875258306,0.075,0.045643546458763846
2009,CENTRAL,BLUEFISH_UC,Mesocentrotus franciscanus,14,7,5.656854249492381,0.11666666666666667,0.09428090415820632
2009,CENTRAL,BLUEFISH_UC,Strongylocentrotus purpuratus,21,7,6,0.11666666666666667,0.1
2009,CENTRAL,HOPKINS_DC,Mesocentrotus franciscanus,7,7,NA,0.11666666666666667,NA
2009,CENTRAL,HOPKINS_DC,Strongylocentrotus purpuratus,7,3.5,2.1213203435596424,0.058333333333333334,0.035355339059327376
2009,CENTRAL,HOPKINS_UC,Mesocentrotus franciscanus,2,2,NA,0.03333333333333333,NA
2009,CENTRAL,HOPKINS_UC,Strongylocentrotus purpuratus,39,6.5,5.683308895353129,0.10833333333333334,0.09472181492255215
2009,CENTRAL,MACABEE_DC,Strongylocentrotus purpuratus,13,2.6,1.8165902124584952,0.043333333333333335,0.030276503540974914
2009,CENTRAL,MACABEE_UC,Strongylocentrotus purpuratus,9,3,1.7320508075688772,0.05,0.02886751345948129
2009,CENTRAL,MONASTERY_DC,Strongylocentrotus purpuratus,15,3.75,3.095695936834452,0.0625,0.05159493228057419
2009,CENTRAL,MONASTERY_UC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2009,CENTRAL,MONASTERY_UC,Strongylocentrotus purpuratus,9,3,2.6457513110645907,0.05,0.044095855184409845
2009,CENTRAL,PESCADERO_DC,Strongylocentrotus purpuratus,7,3.5,2.1213203435596424,0.058333333333333334,0.035355339059327376
2009,CENTRAL,PESCADERO_UC,Strongylocentrotus purpuratus,66,22,16.64331697709324,0.3666666666666667,0.2773886162848873
2009,CENTRAL,STILLWATER_DC,Strongylocentrotus purpuratus,2,1,0,0.016666666666666666,0
2009,CENTRAL,STILLWATER_UC,Strongylocentrotus purpuratus,3,1,0,0.016666666666666666,0
2009,CENTRAL,WESTON_DC,Strongylocentrotus purpuratus,15,3.75,4.272001872658765,0.0625,0.07120003121097943
2009,CENTRAL,WESTON_UC,Strongylocentrotus purpuratus,141,47,59.80802621722272,0.7833333333333333,0.9968004369537119
2010,CENTRAL,BLUEFISH_DC,Strongylocentrotus purpuratus,22,5.5,3.3166247903554,0.09166666666666666,0.055277079839256664
2010,CENTRAL,BLUEFISH_UC,Strongylocentrotus purpuratus,1,1,NA,0.016666666666666666,NA
2010,CENTRAL,BUTTERFLY_DC,Strongylocentrotus purpuratus,68,17,11.74734012447073,0.2833333333333333,0.1957890020745122
2010,CENTRAL,BUTTERFLY_UC,Strongylocentrotus purpuratus,11,3.666666666666667,3.7859388972001824,0.06111111111111111,0.06309898162000303
2010,CENTRAL,HOPKINS_DC,Mesocentrotus franciscanus,4,2,1.4142135623730951,0.03333333333333333,0.023570226039551587
2010,CENTRAL,HOPKINS_DC,Strongylocentrotus purpuratus,12,2.4,0.8944271909999159,0.04,0.014907119849998601
2010,CENTRAL,HOPKINS_UC,Strongylocentrotus purpuratus,11,5.5,3.5355339059327378,0.09166666666666667,0.05892556509887896
2010,CENTRAL,LONE_TREE,Strongylocentrotus purpuratus,19,9.5,10.606601717798213,0.15833333333333333,0.1767766952966369
2010,CENTRAL,MACABEE_DC,Mesocentrotus franciscanus,3,1.5,0.7071067811865476,0.025,0.011785113019775792
2010,CENTRAL,MACABEE_DC,Strongylocentrotus purpuratus,14,7,7.0710678118654755,0.11666666666666667,0.11785113019775793
2010,CENTRAL,MACABEE_UC,Strongylocentrotus purpuratus,2,2,NA,0.03333333333333333,NA
2010,CENTRAL,MONASTERY_DC,Strongylocentrotus purpuratus,7,3.5,2.1213203435596424,0.058333333333333334,0.035355339059327376
2010,CENTRAL,MONASTERY_UC,Strongylocentrotus purpuratus,4,2,1.4142135623730951,0.03333333333333333,0.023570226039551587
2010,CENTRAL,PESCADERO_DC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2010,CENTRAL,PESCADERO_DC,Strongylocentrotus purpuratus,88,14.666666666666666,17.224014243685083,0.24444444444444444,0.28706690406141805
2010,CENTRAL,PESCADERO_UC,Strongylocentrotus purpuratus,7,2.3333333333333335,2.3094010767585034,0.03888888888888889,0.03849001794597505
2010,CENTRAL,PINNACLES_IN,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2010,CENTRAL,PINNACLES_IN,Strongylocentrotus purpuratus,21,7,5.291502622129181,0.11666666666666667,0.08819171036881969
2010,CENTRAL,PINNACLES_OUT,Mesocentrotus franciscanus,26,8.666666666666666,8.082903768654761,0.14444444444444443,0.13471506281091267
2010,CENTRAL,PINNACLES_OUT,Strongylocentrotus purpuratus,159,26.5,24.53365036027048,0.44166666666666665,0.40889417267117467
2010,CENTRAL,STILLWATER_DC,Strongylocentrotus purpuratus,2,2,NA,0.03333333333333333,NA
2010,CENTRAL,WESTON_DC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2010,CENTRAL,WESTON_DC,Strongylocentrotus purpuratus,25,6.25,4.645786621588784,0.10416666666666667,0.07742977702647974
2010,CENTRAL,WESTON_UC,Strongylocentrotus purpuratus,52,13,8.602325267042627,0.21666666666666665,0.14337208778404376
2011,CENTRAL,ASILOMAR_DC,Mesocentrotus franciscanus,3,3,NA,0.05,NA
2011,CENTRAL,ASILOMAR_UC,Mesocentrotus franciscanus,6,3,2.8284271247461903,0.05,0.04714045207910317
2011,CENTRAL,ASILOMAR_UC,Strongylocentrotus purpuratus,2,1,0,0.016666666666666666,0
2011,CENTRAL,BIRD_ROCK,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2011,CENTRAL,BIRD_ROCK,Strongylocentrotus purpuratus,54,18,12.12435565298214,0.3,0.20207259421636903
2011,CENTRAL,BLUEFISH_DC,Mesocentrotus franciscanus,16,3.2,2.9495762407505253,0.05333333333333333,0.049159604012508754
2011,CENTRAL,BLUEFISH_DC,Strongylocentrotus purpuratus,33,5.5,4.415880433163924,0.09166666666666667,0.07359800721939873
2011,CENTRAL,BLUEFISH_UC,Mesocentrotus franciscanus,2,1,0,0.016666666666666666,0
2011,CENTRAL,BLUEFISH_UC,Strongylocentrotus purpuratus,13,2.6,1.816590212458495,0.043333333333333335,0.030276503540974914
2011,CENTRAL,BUTTERFLY_DC,Mesocentrotus franciscanus,3,3,NA,0.05,NA
2011,CENTRAL,BUTTERFLY_DC,Strongylocentrotus purpuratus,62,15.5,11.474609652039003,0.25833333333333336,0.1912434942006501
2011,CENTRAL,BUTTERFLY_UC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2011,CENTRAL,BUTTERFLY_UC,Strongylocentrotus purpuratus,12,3,2.160246899469287,0.05,0.03600411499115478
2011,CENTRAL,CANNERY_DC,Mesocentrotus franciscanus,4,1.3333333333333333,0.5773502691896257,0.022222222222222223,0.009622504486493762
2011,CENTRAL,CANNERY_DC,Strongylocentrotus purpuratus,4,1.3333333333333333,0.5773502691896257,0.022222222222222223,0.009622504486493762
2011,CENTRAL,CANNERY_UC,Mesocentrotus franciscanus,5,5,NA,0.08333333333333333,NA
2011,CENTRAL,CANNERY_UC,Strongylocentrotus purpuratus,14,4.666666666666667,6.350852961085883,0.07777777777777778,0.1058475493514314
2011,CENTRAL,CHINA_ROCK,Mesocentrotus franciscanus,14,7,8.48528137423857,0.11666666666666667,0.14142135623730953
2011,CENTRAL,CHINA_ROCK,Strongylocentrotus purpuratus,72,24,27.730849247724095,0.4,0.46218082079540157
2011,CENTRAL,CYPRESS_PT_DC,Mesocentrotus franciscanus,7,1.75,1.5,0.029166666666666667,0.025
2011,CENTRAL,CYPRESS_PT_DC,Strongylocentrotus purpuratus,79,15.8,27.68934813244978,0.2633333333333333,0.4614891355408296
2011,CENTRAL,CYPRESS_PT_UC,Mesocentrotus franciscanus,13,3.25,1.707825127659933,0.05416666666666667,0.02846375212766555
2011,CENTRAL,CYPRESS_PT_UC,Strongylocentrotus purpuratus,28,7,11.343133018115703,0.11666666666666667,0.18905221696859506
2011,CENTRAL,HOPKINS_DC,Mesocentrotus franciscanus,21,10.5,4.949747468305833,0.175,0.08249579113843054
2011,CENTRAL,HOPKINS_DC,Strongylocentrotus purpuratus,10,2.5,1.7320508075688772,0.041666666666666664,0.02886751345948129
2011,CENTRAL,HOPKINS_UC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2011,CENTRAL,HOPKINS_UC,Strongylocentrotus purpuratus,12,2.4,2.073644135332772,0.04,0.03456073558887954
2011,CENTRAL,LONE_TREE,Mesocentrotus franciscanus,15,3.75,2.362907813126304,0.0625,0.03938179688543841
2011,CENTRAL,LONE_TREE,Strongylocentrotus purpuratus,31,5.166666666666667,3.763863263545405,0.08611111111111111,0.06273105439242341
2011,CENTRAL,LOVERS_DC,Mesocentrotus franciscanus,16,5.333333333333333,4.509249752822894,0.08888888888888888,0.07515416254704824
2011,CENTRAL,LOVERS_DC,Strongylocentrotus purpuratus,18,4.5,1.7320508075688772,0.075,0.02886751345948129
2011,CENTRAL,LOVERS_UC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2011,CENTRAL,LOVERS_UC,Strongylocentrotus purpuratus,14,3.5,3.1091263510296048,0.058333333333333334,0.05181877251716009
2011,CENTRAL,MACABEE_DC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2011,CENTRAL,MACABEE_DC,Strongylocentrotus purpuratus,6,3,0,0.05,0
2011,CENTRAL,MACABEE_UC,Mesocentrotus franciscanus,2,1,0,0.016666666666666666,0
2011,CENTRAL,MACABEE_UC,Strongylocentrotus purpuratus,3,1.5,0.7071067811865476,0.025,0.011785113019775792
2011,CENTRAL,MONASTERY_DC,Mesocentrotus franciscanus,6,2,1.7320508075688772,0.03333333333333333,0.02886751345948129
2011,CENTRAL,MONASTERY_DC,Strongylocentrotus purpuratus,7,3.5,0.7071067811865476,0.058333333333333334,0.01178511301977579
2011,CENTRAL,MONASTERY_UC,Mesocentrotus franciscanus,4,4,NA,0.06666666666666667,NA
2011,CENTRAL,MONASTERY_UC,Strongylocentrotus purpuratus,7,3.5,2.1213203435596424,0.058333333333333334,0.035355339059327376
2011,CENTRAL,OTTER_PT_DC,Mesocentrotus franciscanus,9,2.25,1.8929694486000912,0.0375,0.03154949081000152
2011,CENTRAL,OTTER_PT_DC,Strongylocentrotus purpuratus,23,4.6,3.7815340802378077,0.07666666666666666,0.06302556800396346
2011,CENTRAL,OTTER_PT_UC,Mesocentrotus franciscanus,23,5.75,2.753785273643051,0.09583333333333333,0.04589642122738418
2011,CENTRAL,OTTER_PT_UC,Strongylocentrotus purpuratus,13,3.25,1.5,0.05416666666666667,0.025
2011,CENTRAL,PESCADERO_DC,Mesocentrotus franciscanus,9,3,1,0.05,0.016666666666666666
2011,CENTRAL,PESCADERO_DC,Strongylocentrotus purpuratus,25,6.25,4.716990566028302,0.10416666666666666,0.07861650943380505
2011,CENTRAL,PESCADERO_UC,Mesocentrotus franciscanus,2,2,NA,0.03333333333333333,NA
2011,CENTRAL,PESCADERO_UC,Strongylocentrotus purpuratus,11,2.75,1.707825127659933,0.04583333333333333,0.02846375212766555
2011,CENTRAL,PINNACLES_IN,Mesocentrotus franciscanus,48,12,14.39907404430345,0.2,0.2399845674050575
2011,CENTRAL,PINNACLES_IN,Strongylocentrotus purpuratus,171,28.5,15.820872289478858,0.475,0.26368120482464763
2011,CENTRAL,PINNACLES_OUT,Mesocentrotus franciscanus,116,29,24.138489320308896,0.4833333333333334,0.40230815533848163
2011,CENTRAL,PINNACLES_OUT,Strongylocentrotus purpuratus,593,118.6,104.5815471295008,1.9766666666666668,1.7430257854916804
2011,CENTRAL,PINOS,Mesocentrotus franciscanus,45,11.25,11.615363389350618,0.1875,0.19358938982251028
2011,CENTRAL,PINOS,Strongylocentrotus purpuratus,26,6.5,5.916079783099616,0.10833333333333334,0.09860132971832694
2011,CENTRAL,PT_JOE,Mesocentrotus franciscanus,62,15.5,8.582928793055823,0.2583333333333333,0.14304881321759702
2011,CENTRAL,PT_JOE,Strongylocentrotus purpuratus,3,1.5,0.7071067811865476,0.025,0.011785113019775792
2011,CENTRAL,SIREN,Mesocentrotus franciscanus,7,2.3333333333333335,2.3094010767585034,0.03888888888888889,0.03849001794597505
2011,CENTRAL,SIREN,Strongylocentrotus purpuratus,1,1,NA,0.016666666666666666,NA
2011,CENTRAL,SPANISH_BAY_UC,Strongylocentrotus purpuratus,1,1,NA,0.016666666666666666,NA
2011,CENTRAL,STILLWATER_DC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2011,CENTRAL,STILLWATER_DC,Strongylocentrotus purpuratus,1,1,NA,0.016666666666666666,NA
2011,CENTRAL,STILLWATER_UC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2011,CENTRAL,STILLWATER_UC,Strongylocentrotus purpuratus,7,3.5,0.7071067811865476,0.058333333333333334,0.01178511301977579
2011,CENTRAL,WESTON_DC,Strongylocentrotus purpuratus,4,2,1.4142135623730951,0.03333333333333333,0.023570226039551587
2011,CENTRAL,WESTON_UC,Strongylocentrotus purpuratus,657,164.25,306.553285199599,2.7375,5.109221419993316
2012,CENTRAL,BLUEFISH_UC,Strongylocentrotus purpuratus,5,1.25,0.5,0.020833333333333332,0.008333333333333335
2012,CENTRAL,CANNERY_DC,Mesocentrotus franciscanus,17,8.5,10.606601717798213,0.14166666666666666,0.1767766952966369
2012,CENTRAL,CANNERY_DC,Strongylocentrotus purpuratus,30,7.5,5.196152422706632,0.125,0.08660254037844387
2012,CENTRAL,CANNERY_UC,Mesocentrotus franciscanus,11,2.75,1.2583057392117916,0.04583333333333334,0.020971762320196527
2012,CENTRAL,CANNERY_UC,Strongylocentrotus purpuratus,26,8.666666666666666,7.505553499465135,0.14444444444444443,0.1250925583244189
2012,CENTRAL,HOPKINS_DC,Strongylocentrotus purpuratus,25,5,4.183300132670378,0.08333333333333333,0.06972166887783963
2012,CENTRAL,HOPKINS_UC,Mesocentrotus franciscanus,6,3,1.4142135623730951,0.05,0.023570226039551584
2012,CENTRAL,HOPKINS_UC,Strongylocentrotus purpuratus,13,6.5,4.949747468305833,0.10833333333333334,0.08249579113843054
2012,CENTRAL,LOVERS_DC,Strongylocentrotus purpuratus,12,6,4.242640687119285,0.1,0.07071067811865475
2012,CENTRAL,LOVERS_UC,Mesocentrotus franciscanus,12,4,5.196152422706632,0.06666666666666667,0.08660254037844387
2012,CENTRAL,LOVERS_UC,Strongylocentrotus purpuratus,13,2.1666666666666665,2.0412414523193148,0.036111111111111115,0.03402069087198858
2012,CENTRAL,MACABEE_DC,Mesocentrotus franciscanus,3,3,NA,0.05,NA
2012,CENTRAL,MACABEE_DC,Strongylocentrotus purpuratus,2,2,NA,0.03333333333333333,NA
2012,CENTRAL,MACABEE_UC,Mesocentrotus franciscanus,9,3,2,0.05,0.03333333333333333
2012,CENTRAL,MACABEE_UC,Strongylocentrotus purpuratus,6,2,1.7320508075688772,0.03333333333333333,0.02886751345948129
2012,CENTRAL,MONASTERY_DC,Strongylocentrotus purpuratus,12,4,4.358898943540674,0.06666666666666667,0.0726483157256779
2012,CENTRAL,OTTER_PT_DC,Mesocentrotus franciscanus,8,2.6666666666666665,1.5275252316519465,0.044444444444444446,0.02545875386086578
2012,CENTRAL,OTTER_PT_DC,Strongylocentrotus purpuratus,13,4.333333333333333,2.0816659994661326,0.07222222222222222,0.034694433324435545
2012,CENTRAL,OTTER_PT_UC,Mesocentrotus franciscanus,11,2.75,2.362907813126304,0.04583333333333334,0.03938179688543841
2012,CENTRAL,OTTER_PT_UC,Strongylocentrotus purpuratus,17,4.25,4.573474244670748,0.07083333333333333,0.07622457074451246
2012,CENTRAL,PESCADERO_DC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2012,CENTRAL,PESCADERO_DC,Strongylocentrotus purpuratus,28,4.666666666666666,4.844240566555987,0.07777777777777778,0.08073734277593311
2012,CENTRAL,PESCADERO_UC,Strongylocentrotus purpuratus,90,18,27.54087870784082,0.3,0.4590146451306804
2012,CENTRAL,PINOS,Mesocentrotus franciscanus,4,2,1.4142135623730951,0.03333333333333333,0.023570226039551587
2012,CENTRAL,PINOS,Strongylocentrotus purpuratus,1,1,NA,0.016666666666666666,NA
2012,CENTRAL,SIREN,Strongylocentrotus purpuratus,6,2,1,0.03333333333333333,0.01666666666666667
2012,CENTRAL,WESTON_UC,Strongylocentrotus purpuratus,11,3.6666666666666665,3.055050463303893,0.06111111111111111,0.05091750772173155
2013,CENTRAL,BLUEFISH_DC,Mesocentrotus franciscanus,2,1,0,0.016666666666666666,0
2013,CENTRAL,BLUEFISH_DC,Strongylocentrotus purpuratus,7,2.3333333333333335,1.5275252316519465,0.03888888888888889,0.02545875386086578
2013,CENTRAL,BLUEFISH_UC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2013,CENTRAL,BLUEFISH_UC,Strongylocentrotus purpuratus,6,3,2.8284271247461903,0.05,0.04714045207910317
2013,CENTRAL,BUTTERFLY_DC,Strongylocentrotus purpuratus,6,2,1.7320508075688772,0.03333333333333333,0.028867513459481287
2013,CENTRAL,BUTTERFLY_UC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2013,CENTRAL,BUTTERFLY_UC,Strongylocentrotus purpuratus,13,4.333333333333333,4.163331998932266,0.07222222222222222,0.06938886664887109
2013,CENTRAL,CANNERY_DC,Mesocentrotus franciscanus,3,3,NA,0.05,NA
2013,CENTRAL,CANNERY_DC,Strongylocentrotus purpuratus,82,20.5,15.50268793897798,0.3416666666666667,0.25837813231629964
2013,CENTRAL,CANNERY_UC,Mesocentrotus franciscanus,4,4,NA,0.06666666666666667,NA
2013,CENTRAL,CANNERY_UC,Strongylocentrotus purpuratus,11,3.6666666666666665,1.1547005383792515,0.06111111111111111,0.01924500897298752
2013,CENTRAL,HOPKINS_DC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2013,CENTRAL,HOPKINS_DC,Strongylocentrotus purpuratus,17,4.25,2.6299556396765835,0.07083333333333333,0.043832593994609724
2013,CENTRAL,HOPKINS_UC,Strongylocentrotus purpuratus,25,5,5.656854249492381,0.08333333333333334,0.09428090415820635
2013,CENTRAL,LOVERS_DC,Mesocentrotus franciscanus,2,2,NA,0.03333333333333333,NA
2013,CENTRAL,LOVERS_DC,Strongylocentrotus purpuratus,3,1,0,0.016666666666666666,0
2013,CENTRAL,LOVERS_UC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2013,CENTRAL,LOVERS_UC,Strongylocentrotus purpuratus,15,2.5,2.345207879911715,0.04166666666666667,0.03908679799852858
2013,CENTRAL,MACABEE_UC,Mesocentrotus franciscanus,12,4,1,0.06666666666666667,0.016666666666666663
2013,CENTRAL,MACABEE_UC,Strongylocentrotus purpuratus,44,8.8,4.969909455915671,0.14666666666666667,0.08283182426526119
2013,CENTRAL,MONASTERY_DC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2013,CENTRAL,MONASTERY_DC,Strongylocentrotus purpuratus,3,1,0,0.016666666666666666,0
2013,CENTRAL,MONASTERY_UC,Mesocentrotus franciscanus,1,1,NA,0.016666666666666666,NA
2013,CENTRAL,MONASTERY_UC,Strongylocentrotus purpuratus,1,1,NA,0.016666666666666666,NA
2013,CENTRAL,OTTER_PT_DC,Mesocentrotus franciscanus,7,3.5,3.5355339059327378,0.058333333333333334,0.05892556509887897
2013,CENTRAL,OTTER_PT_DC,Strongylocentrotus purpuratus,13,4.333333333333333,2.8867513459481287,0.07222222222222223,0.04811252243246882
2013,CENTRAL,OTTER_PT_UC,Strongylocentrotus purpuratus,15,3.75,4.193248541803041,0.06249999999999999,0.06988747569671734
2013,CENTRAL,PESCADERO_DC,Strongylocentrotus purpuratus,10,3.3333333333333335,2.3094010767585034,0.05555555555555556,0.03849001794597506
2013,CENTRAL,PESCADERO_UC,Strongylocentrotus purpuratus,32,16,1.4142135623730951,0.26666666666666666,0.02357022603955158
